Word,Val,Val_z
begin,6.44,1.08
beginner,5.15,0.07
beginning,6.39,1.04
begrudge,3.95,-0.87
behave,6.25,0.93
behavior,5.28,0.17
behavioral,5.1,0.03
behold,6.48,1.11
beholden,5.05,-0.01
beige,5.26,0.15
belated,4.21,-0.67
belay,5.5,0.34
belch,4.18,-0.69
belief,6.14,0.84
believable,6.89,1.43
believe,7.05,1.56
believer,5.64,0.45
belittle,2.7,-1.85
bell,5.67,0.48
bellboy,4.95,-0.09
bellhop,5.47,0.32
belligerent,3.11,-1.53
bellman,5.35,0.22
bellow,4.63,-0.34
belly,4.37,-0.54
bellybutton,5.73,0.52
bellyful,5.85,0.62
belong,6.5,1.13
belongings,6.09,0.8
beloved,7.38,1.82
belt,4.44,-0.49
beluga,5.1,0.03
bench,5.5,0.34
bend,5.75,0.54
benefactor,6.0,0.73
beneficial,6.61,1.21
beneficiary,6.19,0.88
benefit,6.87,1.42
benevolence,6.29,0.96
benevolent,5.95,0.7
benign,5.86,0.62
benzene,4.53,-0.42
bequeath,4.64,-0.33
bereaved,3.65,-1.11
bereavement,3.2,-1.46
beret,5.05,-0.01
berserk,3.75,-1.03
berth,4.52,-0.43
beryllium,5.6,0.42
beseech,4.89,-0.14
bestow,6.5,1.13
bestseller,6.82,1.38
bet,4.95,-0.09
beta,5.55,0.38
betray,2.52,-2.0
betrayal,2.24,-2.21
beverage,7.17,1.65
beware,3.3,-1.38
bewildered,4.32,-0.58
bias,3.95,-0.87
biased,4.21,-0.67
bib,5.78,0.56
bible,5.74,0.53
biblical,6.52,1.14
bicarbonate,4.9,-0.13
bicentennial,6.3,0.97
biceps,5.95,0.7
bicker,2.81,-1.77
bicycle,6.71,1.29
bid,5.16,0.08
bidder,5.39,0.26
bidding,5.29,0.18
bide,4.5,-0.44
big,5.64,0.45
bigamy,3.15,-1.5
biggie,5.32,0.2
bighorn,4.77,-0.23
bigmouth,3.71,-1.06
bigot,2.75,-1.81
bigotry,2.24,-2.21
bike,6.1,0.81
biker,5.32,0.2
bikini,5.57,0.4
bilateral,5.23,0.13
bile,2.61,-1.92
bilge,4.55,-0.4
