Word,Val,Val_z
restless,3.63,-1.12
restock,4.84,-0.18
restoration,5.8,0.58
restore,5.86,0.62
restrain,4.42,-0.51
restraining,3.53,-1.2
restraint,3.47,-1.25
restrict,3.48,-1.24
restricted,3.83,-0.97
restriction,4.0,-0.83
restroom,4.47,-0.47
result,6.11,0.82
resume,4.89,-0.14
resurrect,6.41,1.06
resuscitate,5.65,0.46
resuscitation,4.89,-0.14
retail,5.0,-0.05
retain,6.25,0.93
retainer,4.19,-0.69
retake,4.05,-0.8
retaliate,3.55,-1.19
retaliation,3.0,-1.62
retard,3.28,-1.4
retarded,2.25,-2.21
rethink,5.33,0.21
retina,5.86,0.62
retinal,4.32,-0.58
retire,6.4,1.05
retirement,6.6,1.2
retrace,4.75,-0.25
retract,5.38,0.25
retraction,4.63,-0.34
retractor,4.95,-0.09
retreat,4.92,-0.11
retrial,3.95,-0.87
retribution,3.39,-1.31
retrieval,5.45,0.3
retrieve,6.16,0.86
retriever,5.26,0.15
retro,5.6,0.42
retroactive,4.77,-0.23
retrospect,5.76,0.55
return,5.95,0.7
reunion,6.37,1.02
reunite,6.86,1.41
rev,5.36,0.23
reveal,5.86,0.62
revel,5.4,0.26
revelation,5.94,0.69
revenge,2.75,-1.81
revenue,7.0,1.52
reverence,6.11,0.82
reverend,5.42,0.28
reverent,5.44,0.3
reversal,4.86,-0.16
reverse,5.2,0.11
revert,4.95,-0.09
review,5.09,0.02
reviewer,5.16,0.08
revise,5.26,0.15
revision,4.62,-0.35
revisit,5.81,0.59
revival,6.38,1.03
revive,6.53,1.15
revoke,2.95,-1.66
revolt,4.0,-0.83
revolting,2.47,-2.03
revolution,4.81,-0.2
revolutionary,6.21,0.9
revolutionize,5.65,0.46
revolve,6.37,1.02
revolver,3.3,-1.38
revolving,5.0,-0.05
revue,5.32,0.2
reward,7.47,1.89
rewarding,6.75,1.32
rewind,5.58,0.4
rewire,5.67,0.48
rewrite,4.2,-0.68
rhapsody,6.63,1.23
rhetoric,4.6,-0.36
rhetorical,5.05,-0.01
rhinestone,5.42,0.28
rhino,6.25,0.93
rhinoceros,6.0,0.73
rhubarb,6.45,1.09
rhyme,6.58,1.19
rhythm,6.42,1.06
rhythmic,6.3,0.97
rib,6.1,0.81
ribbon,6.7,1.28
rice,5.7,0.5
rich,6.83,1.39
riches,7.1,1.6
rickety,3.52,-1.21
rickshaw,5.63,0.44
ricochet,4.75,-0.25
rid,3.67,-1.09
riddance,4.79,-0.21
riddle,6.3,0.97
ride,6.27,0.95
rider,5.36,0.23
ridge,4.62,-0.35
ridicule,2.95,-1.66
ridiculous,3.67,-1.09
rife,3.32,-1.37
riff,4.63,-0.34
riffraff,4.05,-0.8
rifle,4.3,-0.6
rifleman,4.25,-0.64
rift,3.84,-0.96
rig,4.32,-0.58
right,7.32,1.77
righteous,6.0,0.73
righteousness,5.18,0.09
rightful,6.0,0.73
righty,5.33,0.21
rigid,3.47,-1.25
rigor,4.81,-0.2
rigorous,4.81,-0.2
rim,4.6,-0.36
ring,7.09,1.59
ringer,4.95,-0.09
ringleader,4.1,-0.76
ringmaster,5.53,0.37
ringside,5.3,0.19
rink,5.67,0.48
rinse,5.47,0.32
riot,3.15,-1.5
rioting,3.42,-1.29
rip,3.28,-1.4
ripe,5.57,0.4
ripper,3.11,-1.53
ripple,6.17,0.87
rippling,4.91,-0.12
rise,5.73,0.52
risk,5.17,0.08
risky,3.85,-0.95
risotto,5.84,0.61
rite,5.58,0.4
ritual,4.52,-0.43
ritualistic,4.73,-0.26
rival,4.58,-0.38
rivalry,4.57,-0.39
river,6.72,1.3
riverbank,6.58,1.19
riverbed,5.9,0.66
riverboat,6.09,0.8
riveting,5.95,0.7
roach,2.19,-2.25
road,5.59,0.41
roadblock,3.55,-1.19
roadhouse,5.62,0.44
roadie,5.37,0.24
roadrunner,5.45,0.3
roadside,4.65,-0.32
roam,4.89,-0.14
roar,5.37,0.24
roast,5.74,0.53
roasted,5.6,0.42
rob,2.1,-2.32
robber,2.9,-1.7
robbery,2.76,-1.81
robe,5.53,0.37
robin,6.63,1.23
robot,6.18,0.88
robotic,5.05,-0.01
robotics,4.95,-0.09
robust,6.1,0.81
rock,5.72,0.51
rocker,5.65,0.46
rocket,5.8,0.58
rod,4.95,-0.09
rodent,3.56,-1.18
rodeo,4.57,-0.39
roe,4.18,-0.69
rogue,3.89,-0.92
role,5.1,0.03
roll,5.72,0.51
roller,5.35,0.22
rollercoaster,6.75,1.32
roman,5.55,0.38
romance,7.28,1.74
romantic,7.61,2.0
romp,6.79,1.35
roof,4.48,-0.46
rooftop,5.42,0.28
rook,5.58,0.4
rookie,5.25,0.15
room,5.55,0.38
roomful,5.8,0.58
roommate,5.29,0.18
rooms,5.65,0.46
roomy,6.6,1.2
roost,5.16,0.08
rooster,5.53,0.37
root,5.33,0.21
root beer,6.11,0.82
rope,5.05,-0.01
ropes,4.86,-0.16
rosary,5.26,0.15
rose,7.11,1.6
rosemary,6.37,1.02
roster,4.71,-0.28
rot,2.65,-1.89
rotary,4.7,-0.29
rotate,5.24,0.14
rotation,5.0,-0.05
rotor,3.95,-0.87
rotten,2.43,-2.07
rotunda,5.74,0.53
rouge,5.55,0.38
rough,3.68,-1.09
roughneck,3.74,-1.04
roulette,4.37,-0.54
round,5.89,0.65
roundabout,5.05,-0.01
roundup,4.63,-0.34
rouse,5.24,0.14
rousing,5.35,0.22
route,5.86,0.62
routine,4.95,-0.09
rove,4.6,-0.36
roving,4.89,-0.14
row,5.48,0.33
rowboat,5.4,0.26
rowdy,4.16,-0.71
rowing,5.42,0.28
royal,5.25,0.15
royalty,5.52,0.36
rub,6.63,1.23
rubber,4.37,-0.54
rubbish,3.39,-1.31
rubble,3.65,-1.11
rubdown,6.52,1.14
ruby,6.79,1.35
ruckus,4.35,-0.56
rudder,5.11,0.04
ruddy,4.65,-0.32
rude,2.04,-2.37
rudeness,2.57,-1.96
rudimentary,4.45,-0.48
ruff,4.86,-0.16
ruffian,4.21,-0.67
ruffle,5.19,0.1
rug,5.0,-0.05
rugby,5.94,0.69
rugged,5.1,0.03
ruin,2.32,-2.15
ruination,3.53,-1.2
rule,4.5,-0.44
ruler,5.0,-0.05
ruling,4.22,-0.66
rum,5.57,0.4
rumba,5.95,0.7
rumble,5.0,-0.05
rummage,4.95,-0.09
rumor,3.14,-1.51
rump,5.81,0.59
rumpus,4.96,-0.08
run,6.41,1.06
runaround,4.14,-0.72
runaway,4.05,-0.8
rundown,3.79,-1.0
runner,5.68,0.48
running,6.53,1.15
running shoes,5.84,0.61
runny,4.14,-0.72
runt,4.77,-0.23
runway,4.74,-0.25
rupture,3.21,-1.45
rural,5.95,0.7
ruse,3.76,-1.02
rush,4.05,-0.8
rust,4.05,-0.8
rusted,3.27,-1.41
rustic,6.0,0.73
rustle,4.16,-0.71
rustler,4.21,-0.67
rusty,3.5,-1.23
rut,2.9,-1.7
ruthless,3.67,-1.09
rye,5.45,0.3
sabbatical,6.0,0.73
saber,4.5,-0.44
sabotage,2.0,-2.4
saboteur,4.0,-0.83
sac,4.35,-0.56
sack,5.11,0.04
sacrament,5.61,0.43
sacred,6.95,1.48
sacrifice,4.76,-0.24
sacrificial,3.2,-1.46
sacrilege,3.64,-1.12
sacrilegious,4.09,-0.76
sad,2.1,-2.32
saddle,4.95,-0.09
sadist,2.11,-2.32
sadistic,2.62,-1.92
sadness,2.4,-2.09
safari,6.15,0.85
safe,7.7,2.07
safeguard,5.5,0.34
safekeeping,6.48,1.11
safety,7.14,1.63
saffron,6.17,0.87
sag,3.58,-1.16
saga,6.4,1.05
sage,5.79,0.57
saggy,2.62,-1.92
sail,6.84,1.39
sailboat,6.81,1.37
sailor,6.1,0.81
saint,6.4,1.05
sainted,5.44,0.3
sake,5.28,0.17
salad,6.35,1.01
salami,4.83,-0.18
salary,6.42,1.06
sale,6.23,0.91
salesgirl,6.26,0.94
salesman,4.1,-0.76
saline,4.76,-0.24
saliva,4.25,-0.64
salmon,6.48,1.11
salmonella,2.55,-1.97
salon,5.58,0.4
saloon,5.45,0.3
salsa,6.0,0.73
salt,6.05,0.77
salted,5.52,0.36
saltwater,4.71,-0.28
salty,5.1,0.03
salute,6.22,0.91
salvage,5.16,0.08
salvation,6.94,1.47
salve,4.62,-0.35
samba,5.95,0.7
sample,5.76,0.55
samurai,5.5,0.34
sanatorium,3.33,-1.36
sanctimonious,4.37,-0.54
sanction,4.43,-0.5
sanctity,5.43,0.29
sanctuary,7.05,1.56
sanctum,5.09,0.02
sand,6.16,0.86
sandbox,5.75,0.54
sander,5.4,0.26
sandman,4.9,-0.13
sandpaper,4.95,-0.09
sandstorm,4.19,-0.69
sandwich,7.18,1.66
sane,6.73,1.31
sanitarium,3.36,-1.34
sanitary,6.33,0.99
sanitation,4.76,-0.24
sanity,5.95,0.7
sap,4.19,-0.69
sapiens,5.81,0.59
sapphire,6.92,1.46
sappy,4.43,-0.5
sarcasm,4.81,-0.2
sarcastic,4.24,-0.65
sarcophagus,4.81,-0.2
sardine,4.24,-0.65
sarsaparilla,5.4,0.26
sash,5.48,0.33
sashimi,4.77,-0.23
sassafras,5.48,0.33
sassy,5.19,0.1
satanic,1.94,-2.45
satchel,5.21,0.11
satellite,5.56,0.39
satin,6.24,0.92
satire,5.81,0.59
satisfaction,7.18,1.66
satisfactory,6.62,1.22
satisfied,7.16,1.64
satisfy,7.09,1.59
satisfying,7.48,1.9
saturated,4.77,-0.23
saturation,4.42,-0.51
satyr,4.05,-0.8
sauce,6.58,1.19
saucer,5.16,0.08
saucy,6.11,0.82
sauerkraut,5.5,0.34
sauna,5.68,0.48
sausage,6.32,0.99
savage,4.29,-0.61
savannah,6.05,0.77
savant,5.11,0.04
save,7.26,1.72
saver,6.44,1.08
savings,7.67,2.04
savior,6.59,1.2
savor,6.7,1.28
savvy,6.4,1.05
saw,4.16,-0.71
sawdust,5.32,0.2
sawmill,4.57,-0.39
sax,6.16,0.86
saxophone,6.32,0.99
say,5.91,0.66
sayonara,5.22,0.12
scab,3.1,-1.54
scaffold,4.78,-0.22
scalding,3.02,-1.6
scale,5.06,-0.0
scalp,3.75,-1.03
scalpel,3.95,-0.87
scam,2.53,-1.99
scamp,5.16,0.08
scampi,5.86,0.62
scan,5.47,0.32
scandal,3.63,-1.12
scandalous,3.32,-1.37
scanner,5.57,0.4
scapegoat,3.0,-1.62
scar,3.71,-1.06
scarce,3.37,-1.33
scare,3.55,-1.19
scarecrow,5.19,0.1
scared,2.8,-1.78
scarf,6.0,0.73
scary,3.0,-1.62
scat,3.68,-1.09
scatter,3.9,-0.91
scavenger,3.85,-0.95
scenario,5.58,0.4
scene,5.94,0.69
scenery,6.18,0.88
scenic,6.9,1.44
scent,6.5,1.13
scented,6.42,1.06
scepter,5.1,0.03
schedule,4.71,-0.28
schematic,4.63,-0.34
scheme,3.8,-0.99
schilling,5.25,0.15
schizophrenia,3.42,-1.29
schizophrenic,2.91,-1.69
schlep,4.55,-0.4
schmuck,3.95,-0.87
schnapps,5.79,0.57
schnitzel,5.55,0.38
scholar,6.33,0.99
scholarly,6.43,1.07
scholarship,6.76,1.33
scholastic,6.63,1.23
school,5.41,0.27
schoolboy,5.53,0.37
schoolgirl,5.91,0.66
schoolhouse,6.0,0.73
schooling,6.2,0.89
schoolmaster,4.95,-0.09
schoolteacher,5.14,0.06
schoolwork,4.71,-0.28
schoolyard,5.41,0.27
schooner,4.95,-0.09
science,6.32,0.99
scientific,5.95,0.7
scientist,5.83,0.6
scintillating,6.5,1.13
scissors,5.03,-0.03
scoff,3.47,-1.25
scold,2.77,-1.8
scone,5.62,0.44
scoop,5.24,0.14
scoot,5.74,0.53
scooter,5.42,0.28
scope,5.17,0.08
scorch,3.45,-1.27
scorching,3.54,-1.2
score,6.5,1.13
scoreboard,5.4,0.26
scorer,5.42,0.28
scorn,3.07,-1.56
scornful,2.5,-2.01
scorpion,3.68,-1.09
scotch,5.89,0.65
scoundrel,3.25,-1.42
scour,4.89,-0.14
scourge,4.13,-0.73
scout,6.0,0.73
scowl,3.24,-1.43
scrabble,6.14,0.84
scram,3.57,-1.17
scramble,5.21,0.11
scrambled,5.2,0.11
scrambler,4.86,-0.16
scrap,4.71,-0.28
scrapbook,5.71,0.51
scrape,3.74,-1.04
scrappy,4.0,-0.83
scratch,4.95,-0.09
scratchy,3.65,-1.11
scrawny,3.89,-0.92
scream,3.02,-1.6
screamer,3.68,-1.09
screech,3.5,-1.23
screen,5.55,0.38
screening,4.77,-0.23
screenplay,5.65,0.46
screenwriter,6.21,0.9
screw,5.24,0.14
screwball,4.57,-0.39
screwdriver,5.76,0.55
screwy,3.86,-0.94
scribble,5.21,0.11
scrimmage,4.91,-0.12
script,5.42,0.28
scripture,5.47,0.32
scroll,5.32,0.2
scrotum,4.8,-0.21
scrounge,3.67,-1.09
scrounger,3.65,-1.11
scrub,4.53,-0.42
scruffy,4.42,-0.51
scrumptious,7.2,1.68
scrutiny,3.83,-0.97
scuba,5.86,0.62
scuff,3.26,-1.41
scuffle,3.78,-1.01
scullery,4.47,-0.47
sculptor,5.91,0.66
sculpture,6.5,1.13
scum,2.12,-2.31
scumbag,2.48,-2.03
scurry,2.95,-1.66
scurvy,2.76,-1.81
scuttle,4.5,-0.44
sea,6.56,1.17
seaboard,5.75,0.54
seafood,6.45,1.09
seagull,5.27,0.16
seal,5.0,-0.05
seam,5.25,0.15
seaman,5.28,0.17
seamstress,5.6,0.42
search,5.56,0.39
searchlight,5.35,0.22
seashore,7.68,2.05
seasick,1.89,-2.49
seaside,7.67,2.04
season,6.71,1.29
seasonal,6.58,1.19
seasoned,7.16,1.64
seasoning,6.38,1.03
seat,5.22,0.12
seatbelt,5.79,0.57
seating,5.33,0.21
seawater,5.95,0.7
seaweed,4.52,-0.43
sec,4.74,-0.25
secluded,5.21,0.11
seclusion,3.91,-0.91
second,5.23,0.13
second cousin,6.11,0.82
secondary,4.77,-0.23
secondhand,5.53,0.37
secrecy,4.15,-0.72
secret,5.33,0.21
secretary,5.18,0.09
Secretary of State,4.29,-0.61
secretive,4.15,-0.72
sect,3.81,-0.98
section,5.05,-0.01
sector,4.67,-0.31
secular,4.81,-0.2
secure,7.08,1.58
security,6.41,1.06
sedan,5.05,-0.01
sedate,4.8,-0.21
sedation,4.38,-0.54
sedative,4.89,-0.14
sediment,5.11,0.04
sedition,3.86,-0.94
seduce,6.74,1.31
seducer,3.84,-0.96
seduction,6.86,1.41
seductive,6.2,0.89
see,6.27,0.95
seed,6.38,1.03
seeds,5.8,0.58
seedy,3.86,-0.94
seek,6.25,0.93
seeker,6.33,0.99
seem,5.45,0.3
seer,5.35,0.22
seesaw,6.5,1.13
segment,4.63,-0.34
segregation,3.05,-1.58
seismic,4.45,-0.48
seize,3.79,-1.0
seizure,3.05,-1.58
select,6.1,0.81
selection,5.1,0.03
selective,5.21,0.11
selectman,4.84,-0.18
selenium,4.86,-0.16
self,6.86,1.41
selfish,3.3,-1.38
selfishness,2.95,-1.66
selfless,7.11,1.6
sell,5.33,0.21
seller,4.82,-0.19
sellout,3.74,-1.04
seltzer,4.33,-0.58
semantics,5.0,-0.05
semblance,5.0,-0.05
semen,3.85,-0.95
semester,5.0,-0.05
semi,5.57,0.4
semiautomatic,4.68,-0.3
seminar,5.2,0.11
seminary,5.64,0.45
senate,3.38,-1.32
senator,4.32,-0.58
Senator,4.47,-0.47
send,6.18,0.88
sender,6.43,1.07
senile,3.14,-1.51
senior,4.79,-0.21
seniority,5.0,-0.05
senor,5.24,0.14
senorita,7.1,1.6
sensation,6.14,0.84
sensational,7.21,1.68
sense,6.09,0.8
senseless,3.32,-1.37
sensibility,6.2,0.89
sensible,6.74,1.31
sensitive,6.33,0.99
sensitivity,5.5,0.34
sensor,4.6,-0.36
sensory,6.15,0.85
sensual,7.4,1.83
sensuality,6.71,1.29
sensuous,5.79,0.57
sentence,5.13,0.05
sentencing,3.61,-1.14
sentient,5.16,0.08
sentiment,6.2,0.89
sentimental,6.27,0.95
sentimentality,6.0,0.73
sentinel,4.38,-0.54
sentry,4.16,-0.71
separate,3.95,-0.87
separation,3.05,-1.58
septic,3.5,-1.23
sequel,5.76,0.55
sequence,5.84,0.61
serenade,6.43,1.07
serendipity,6.95,1.48
serene,6.9,1.44
serenity,7.75,2.11
sergeant,3.89,-0.92
serial,3.45,-1.27
serialize,4.25,-0.64
series,5.23,0.13
serious,5.88,0.64
seriousness,4.33,-0.58
sermon,4.86,-0.16
serpent,3.45,-1.27
serum,4.1,-0.76
servant,4.0,-0.83
serve,5.36,0.23
server,5.35,0.22
service,6.83,1.39
servitude,3.0,-1.62
sesame,5.45,0.3
session,5.1,0.03
set,5.23,0.13
setback,3.22,-1.45
settle,5.62,0.44
settlement,5.67,0.48
setup,4.35,-0.56
seven,4.9,-0.13
seventeen,5.9,0.66
seventy,4.55,-0.4
sever,3.52,-1.21
severance,3.89,-0.92
severe,3.21,-1.45
severity,3.8,-0.99
sew,5.67,0.48
sewage,2.33,-2.14
sewer,2.9,-1.7
sewing,5.05,-0.01
sex,6.73,1.31
sexist,3.4,-1.31
sexual,6.64,1.24
sexuality,5.95,0.7
sexy,7.42,1.85
shabby,4.11,-0.75
shack,3.89,-0.92
shade,5.91,0.66
shadow,5.07,0.0
shadowy,4.48,-0.46
shady,3.71,-1.06
shaft,4.86,-0.16
shag,5.38,0.25
shake,4.59,-0.37
shakedown,4.05,-0.8
shaker,5.19,0.1
shaky,3.16,-1.49
shall,5.86,0.62
shallow,3.86,-0.94
shallows,5.37,0.24
sham,3.45,-1.27
shaman,5.21,0.11
shame,2.62,-1.92
shamed,2.51,-2.0
shameful,3.0,-1.62
shameless,3.89,-0.92
shampoo,5.75,0.54
shank,3.4,-1.31
shanty,3.14,-1.51
shape,5.41,0.27
shard,4.05,-0.8
share,6.22,0.91
shareholder,4.48,-0.46
shark,4.02,-0.82
sharp,5.24,0.14
sharpen,5.67,0.48
sharpshooter,4.26,-0.63
shatter,3.44,-1.27
shattering,3.67,-1.09
shave,4.9,-0.13
shaver,5.39,0.26
shawl,4.9,-0.13
shear,5.21,0.11
sheath,4.85,-0.17
shed,5.37,0.24
sheep,5.32,0.2
sheepdog,6.4,1.05
sheer,5.38,0.25
sheet,5.57,0.4
sheik,5.15,0.07
shelf,5.62,0.44
shell,6.05,0.77
shellfish,5.0,-0.05
shelter,6.5,1.13
sheltered,5.39,0.26
shepherd,5.75,0.54
sherbet,6.36,1.02
sheriff,4.44,-0.49
sherry,5.95,0.7
shield,5.91,0.66
shift,4.95,-0.09
shifty,3.37,-1.33
shilling,5.36,0.23
shimmer,6.95,1.48
shimmering,6.81,1.37
shimmy,6.52,1.14
shin,5.09,0.02
shindig,6.9,1.44
shine,7.27,1.73
shiner,4.84,-0.18
shingle,4.45,-0.48
shining,5.84,0.61
shiny,6.68,1.27
ship,6.14,0.84
shipment,5.26,0.15
shipping,5.6,0.42
shipshape,5.2,0.11
shipwreck,3.84,-0.96
shipyard,5.05,-0.01
shire,5.78,0.56
shirt,5.56,0.39
shit,3.91,-0.91
shitfaced,4.65,-0.32
shithead,2.37,-2.11
shitload,4.76,-0.24
shitty,2.3,-2.17
shiver,3.61,-1.14
shock,3.9,-0.91
shocker,4.35,-0.56
shocking,4.63,-0.34
shoddy,4.14,-0.72
shoe,5.78,0.56
shoelace,5.71,0.51
shoemaker,5.86,0.62
shoes,5.88,0.64
shoeshine,5.68,0.48
shoot,3.5,-1.23
shooter,3.7,-1.07
shootout,3.32,-1.37
shop,5.89,0.65
shopkeeper,5.35,0.22
shoplifter,2.26,-2.2
shoplifting,2.95,-1.66
shopper,5.29,0.18
shoreline,6.29,0.96
short,5.67,0.48
short story,5.42,0.28
shortage,3.63,-1.12
shortcake,6.89,1.43
shortcut,5.84,0.61
shorten,5.05,-0.01
shorthand,4.9,-0.13
shortness,3.75,-1.03
shorts,5.95,0.7
shortstop,5.3,0.19
shortwave,5.3,0.19
shot,2.82,-1.76
shotgun,3.5,-1.23
shoulder,5.1,0.03
shout,5.0,-0.05
shove,3.1,-1.54
shovel,4.8,-0.21
show,5.91,0.66
showbiz,5.52,0.36
showboat,5.0,-0.05
showcase,6.29,0.96
showdown,4.68,-0.3
shower,7.19,1.67
showgirl,5.38,0.25
showoff,4.0,-0.83
showroom,5.57,0.4
shrapnel,3.6,-1.15
shred,4.53,-0.42
shrew,3.83,-0.97
shrewd,4.4,-0.52
shriek,3.45,-1.27
shrill,3.33,-1.36
shrimp,6.95,1.48
shrine,5.38,0.25
shrink,4.0,-0.83
shrivel,4.21,-0.67
shroud,4.21,-0.67
shrug,4.71,-0.28
shrunken,3.58,-1.16
shudder,4.1,-0.76
shuffle,4.72,-0.27
shuffleboard,4.77,-0.23
shuffling,4.85,-0.17
shun,2.42,-2.07
shunt,4.2,-0.68
shut,4.5,-0.44
shutdown,3.57,-1.17
shuteye,5.47,0.32
shutter,4.7,-0.29
shuttle,5.65,0.46
shy,5.16,0.08
shyness,4.43,-0.5
shyster,3.68,-1.09
sibling,7.27,1.73
sick,2.29,-2.18
sickbay,3.65,-1.11
sickening,2.53,-1.99
sickle,3.95,-0.87
sickly,3.16,-1.49
sickness,2.4,-2.09
side,5.32,0.2
sidearm,4.55,-0.4
sidebar,4.95,-0.09
sideburns,4.18,-0.69
sidecar,6.11,0.82
sidekick,6.14,0.84
sideline,4.55,-0.4
sideshow,4.86,-0.16
sidewalk,5.67,0.48
sidewinder,4.26,-0.63
siege,4.1,-0.76
siesta,6.38,1.03
sift,5.09,0.02
sigh,4.29,-0.61
sight,7.11,1.6
sighting,5.57,0.4
sightseeing,7.38,1.82
sigma,4.83,-0.18
sign,5.27,0.16
signal,5.27,0.16
signature,5.57,0.4
significance,6.21,0.9
significant,6.6,1.2
signify,5.16,0.08
silence,5.25,0.15
silencer,3.9,-0.91
silent,5.14,0.06
silhouette,6.1,0.81
silicon,5.1,0.03
silicone,4.26,-0.63
silk,6.55,1.17
silken,6.38,1.03
silky,7.0,1.52
sill,5.0,-0.05
silliness,6.27,0.95
silly,6.72,1.3
silo,4.59,-0.37
silver,7.48,1.9
silverware,5.76,0.55
silvery,5.72,0.51
similar,5.86,0.62
similarity,6.05,0.77
simmer,5.86,0.62
simple,7.17,1.65
simpleton,4.53,-0.42
simplicity,7.05,1.56
simplify,6.35,1.01
simplistic,6.43,1.07
simulate,5.76,0.55
simulated,5.63,0.44
simulation,5.67,0.48
simulator,5.9,0.66
simultaneous,5.57,0.4
sin,3.08,-1.56
sincere,6.86,1.41
sincerity,7.9,2.22
sinful,3.37,-1.33
sing,7.5,1.91
singer,6.9,1.44
single,5.39,0.26
singular,4.89,-0.14
singularity,4.6,-0.36
sinister,2.63,-1.91
sink,4.62,-0.35
sinker,4.84,-0.18
sinner,3.25,-1.42
sinus,3.57,-1.17
sip,5.38,0.25
sir,5.45,0.3
sire,5.38,0.25
siren,3.8,-0.99
sirloin,7.38,1.82
sissy,3.42,-1.29
sister,7.0,1.52
sisterhood,5.68,0.48
sit,5.82,0.59
sitcom,6.1,0.81
site,5.22,0.12
sitter,4.89,-0.14
situation,5.33,0.21
six,4.85,-0.17
sixpence,4.62,-0.35
sixteen,6.3,0.97
sixty,4.7,-0.29
sizable,6.62,1.22
size,5.61,0.43
sizzle,6.14,0.84
ska,4.57,-0.39
skate,6.74,1.31
skateboard,5.16,0.08
skater,6.16,0.86
skedaddle,5.24,0.14
skeet,4.25,-0.64
skeletal,3.63,-1.12
skeleton,4.37,-0.54
skeptic,4.21,-0.67
skeptical,3.58,-1.16
skepticism,4.3,-0.6
sketch,6.21,0.9
sketchy,4.09,-0.76
skewer,5.37,0.24
ski,5.91,0.66
skid,4.0,-0.83
skier,5.76,0.55
skiing,6.25,0.93
skijump,5.11,0.04
skill,6.65,1.24
skilled,7.05,1.56
skillet,5.85,0.62
skillful,6.86,1.41
skim,4.67,-0.31
skimpy,4.65,-0.32
skin,5.78,0.56
skinny,5.36,0.23
skip,4.76,-0.24
skirmish,4.25,-0.64
skirt,6.14,0.84
skit,5.63,0.44
skittish,4.27,-0.62
skull,3.63,-1.12
skunk,3.78,-1.01
sky,7.32,1.77
skylight,6.8,1.36
skyline,6.17,0.87
skyscraper,5.84,0.61
slab,4.7,-0.29
slack,3.85,-0.95
slag,2.63,-1.91
slam,4.79,-0.21
slammer,4.09,-0.76
slander,2.45,-2.05
slang,5.25,0.15
slant,4.84,-0.18
slap,2.95,-1.66
slash,4.85,-0.17
slate,4.77,-0.23
slaughter,2.33,-2.14
slaughterhouse,2.68,-1.87
slave,2.06,-2.36
slavery,2.0,-2.4
slay,2.63,-1.91
slayer,4.43,-0.5
sleaze,2.95,-1.66
sleazy,3.85,-0.95
sled,6.35,1.01
sledge,4.55,-0.4
sledgehammer,3.57,-1.17
sleek,6.26,0.94
sleep,7.22,1.69
sleeper,5.84,0.61
sleepless,3.11,-1.53
sleepover,6.26,0.94
sleepy,4.36,-0.55
sleepyhead,5.43,0.29
sleet,4.4,-0.52
sleeve,5.95,0.7
sleigh,6.11,0.82
sleight,4.65,-0.32
slender,6.05,0.77
slice,5.05,-0.01
slick,5.0,-0.05
slicker,4.84,-0.18
slide,5.71,0.51
slider,5.94,0.69
slight,4.6,-0.36
slim,6.63,1.23
slime,3.15,-1.5
slimy,3.21,-1.45
sling,4.26,-0.63
slingshot,5.41,0.27
slinky,4.63,-0.34
slip,4.33,-0.58
slipper,5.8,0.58
slippery,4.38,-0.54
slit,4.26,-0.63
sliver,5.75,0.54
slob,2.48,-2.03
slobber,3.65,-1.11
slogan,4.9,-0.13
slop,3.74,-1.04
slope,5.42,0.28
sloppy,3.42,-1.29
slot,5.2,0.11
sloth,4.05,-0.8
slouch,3.85,-0.95
slow,4.0,-0.83
sludge,2.95,-1.66
slug,3.16,-1.49
slugger,4.67,-0.31
sluggish,4.05,-0.8
slum,2.55,-1.97
slumber,6.24,0.92
slump,3.95,-0.87
slur,2.89,-1.71
slurp,5.0,-0.05
slush,4.68,-0.3
slut,2.55,-1.97
slutty,3.5,-1.23
sly,3.74,-1.04
smack,3.95,-0.87
small,5.76,0.55
smallpox,2.02,-2.39
smart,7.73,2.09
smartass,5.1,0.03
smarten,6.22,0.91
smarty,6.36,1.02
smash,4.68,-0.3
smear,3.84,-0.96
smell,6.39,1.04
smelly,2.68,-1.87
smidgen,5.17,0.08
smile,7.89,2.22
smiley,7.58,1.97
smirk,5.32,0.2
Smirnoff,6.44,1.08
smite,3.95,-0.87
smithereens,4.16,-0.71
smock,5.25,0.15
smog,2.56,-1.96
smoke,3.44,-1.27
smoker,3.59,-1.16
smoky,3.73,-1.05
smooch,7.35,1.79
smooth,6.42,1.06
smoothie,7.89,2.22
smother,2.68,-1.87
smudge,4.29,-0.61
smug,3.68,-1.09
smuggle,3.89,-0.92
smuggler,3.45,-1.27
smut,3.73,-1.05
snack,6.53,1.15
snafu,4.6,-0.36
snag,4.09,-0.76
snail,4.52,-0.43
snake,4.03,-0.81
snakeskin,4.41,-0.51
snap,4.42,-0.51
snapper,4.43,-0.5
snappy,5.55,0.38
snapshot,5.84,0.61
snare,4.79,-0.21
snarl,2.45,-2.05
snatch,4.64,-0.33
snatcher,2.95,-1.66
snazzy,6.45,1.09
sneak,4.33,-0.58
sneaker,5.85,0.62
sneaky,3.94,-0.88
sneer,3.3,-1.38
sneeze,4.0,-0.83
snide,3.33,-1.36
sniff,5.1,0.03
snip,4.32,-0.58
sniper,3.5,-1.23
snippy,3.57,-1.17
snitch,3.79,-1.0
snob,2.53,-1.99
snoop,3.45,-1.27
snoopy,6.11,0.82
snooty,3.05,-1.58
snooze,6.36,1.02
snore,3.0,-1.62
snorkel,6.0,0.73
snort,4.55,-0.4
snot,3.55,-1.19
